id,"product-live-url","product-image","offer-price","original-price","product-charge","discount","product-name","product-badge"
43,"https://www.joyalukkas.in/thin-embroidered-enticing-gold-bangle-bm13077412.html","https://cdn.joyalukkas.in/media/catalog/product/b/m/bm13077412_1.jpg?tr=w-360","₹123,783","₹133,480","on Making Charges","50% Off","Thin Embroidered Enticing Gold Bangle",
44,"https://www.joyalukkas.in/triad-majesty-bracelet-dsdb00004609.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdb00004609_1.jpg?tr=w-360","₹32,199","₹34,863","on Making Charges","50% Off","Triad Majesty Bracelet","Express Delivery"
45,"https://www.joyalukkas.in/helical-inspired-diamond-ring-dsdr00017827.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00017827_1.jpg?tr=w-360","₹32,527","₹35,521","on Making Charges","50% Off","Helical Inspired Diamond Ring",
46,"https://www.joyalukkas.in/lantern-shaped-diamond-ring-dsdr00018214.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018214_1.jpg?tr=w-360","₹17,837","₹19,713","on Making Charges","50% Off","Lantern Shaped Diamond Ring","New"
47,"https://www.joyalukkas.in/dazzling-cluster-diamond-ring-dsdr00019685.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00019685_1.jpg?tr=w-360","₹37,767","₹41,591","on Making Charges","50% Off","Dazzling Cluster Diamond Ring","New"
48,"https://www.joyalukkas.in/drizzle-styled-diamond-ring-dsdr00018210.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018210_1.jpg?tr=w-360","₹24,348","₹26,228","on Making Charges","50% Off","Drizzle Styled Diamond Ring",
49,"https://www.joyalukkas.in/tulip-cascade-jhumkas-dsde00030380.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030380_1.jpg?tr=w-360","₹71,990","₹78,788","on Making Charges","50% Off","Tulip Cascade Jhumkas","Express Delivery"
50,"https://www.joyalukkas.in/plop-inspired-diamond-ring-dsdr00018203.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018203_1.jpg?tr=w-360","₹28,573","₹30,951","on Making Charges","50% Off","Plop Inspired Diamond Ring",
51,"https://www.joyalukkas.in/petal-radiance-diamond-ring-dsdr00020851.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00020851_1_1.jpg?tr=w-360","₹60,347","₹63,024","on Making Charges","50% Off","Petal Radiance Diamond Ring","New"
52,"https://www.joyalukkas.in/floral-diamond-women-bracelet-tcdb00003076.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tcdb00003076_1.jpg?tr=w-360","₹33,239","₹36,458","on Making Charges","50% Off","Floral Diamond Women Bracelet",
53,"https://www.joyalukkas.in/gardenia-grace-earrings-dsde00030377.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030377_1.jpg?tr=w-360","₹28,710","₹32,162","on Making Charges","50% Off","Gardenia Grace Earrings","Express Delivery"
54,"https://www.joyalukkas.in/floral-delight-pendant-dsdp00012802.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdp00012802_1.jpg?tr=w-360","₹35,099","₹39,386","on Making Charges","50% Off","Floral Delight Pendant","New"
55,"https://www.joyalukkas.in/floral-elegance-diamond-ring-dsdr00020649.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00020649_1.jpg?tr=w-360","₹51,267","₹54,711","on Making Charges","50% Off","Floral Elegance Diamond Ring",
56,"https://www.joyalukkas.in/twinkle-cluster-diamond-ring-wkjtdr0008.html","https://cdn.joyalukkas.in/media/catalog/product/w/k/wkjtdr0008_1.jpg?tr=w-360","₹297,341","₹307,798","on Making Charges","50% Off","Twinkle Cluster Diamond Ring","New"
57,"https://www.joyalukkas.in/blossom-brilliance-ring-dsdr00019385.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00019385_1.jpg?tr=w-360","₹101,857","₹106,999","on Making Charges","50% Off","Blossom Brilliance Ring",
58,"https://www.joyalukkas.in/lamina-women-diamond-ring-dsdr00018212.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018212_1.jpg?tr=w-360","₹22,665","₹24,579","on Making Charges","50% Off","Lamina Women Diamond Ring","New"
59,"https://www.joyalukkas.in/floral-flourish-earrings-dsde00030379.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsde00030379_1.jpg?tr=w-360","₹29,790","₹32,943","on Making Charges","50% Off","Floral Flourish Earrings",
60,"https://www.joyalukkas.in/amalgam-elegance-pendant-dsdp00012800.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdp00012800_1.jpg?tr=w-360","₹36,165","₹40,054","on Making Charges","50% Off","Amalgam Elegance Pendant","Express Delivery"
61,"https://www.joyalukkas.in/pinnacle-diamond-bracelet-mudb00004381.html","https://cdn.joyalukkas.in/media/catalog/product/m/u/mudb00004381_1.jpg?tr=w-360","₹264,206","₹285,842","on Making Charges","50% Off","Pinnacle Diamond Bracelet",
