id,"product_img","product-name","product-name href","new-price","WebRupee","btn","tah-vc-icon src","offer","bvideo-icon2 href","bvideo-icon2"
123,"https://kinclimg7.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPR0738R29_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-54255.png","The Flavius Top Open Ring","https://www.bluestone.com/rings/the-flavius-top-open-ring~77677.html?impEvent=browseclick&posEvent=123&sortbyEvent=mostpopular&tagEvent=","31,817","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
124,"https://kinclimg5.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0622J13_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-47494.png","The Saba Nose Ring","https://www.bluestone.com/nose+rings/the-saba-nose-ring~64260.html?impEvent=browseclick&posEvent=124&sortbyEvent=mostpopular&tagEvent=","10,804","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
125,,"The Conjoined Blossoms Necklace","https://www.bluestone.com/necklaces/the-conjoined-blossoms-necklace~3929.html?impEvent=browseclick&posEvent=125&sortbyEvent=mostpopular&tagEvent=","2,14,479","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
126,"https://kinclimg0.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIPO0764H06_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-65250.png","The Arkee Textured Hoop Earrings","https://www.bluestone.com/earrings/the-arkee-textured-hoop-earrings~90327.html?impEvent=browseclick&posEvent=126&sortbyEvent=mostpopular&tagEvent=","54,166","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
127,"https://kinclimg3.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV0808R22_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-60236.png","The Kaizen Stackable Ring","https://www.bluestone.com/rings/the-kaizen-stackable-ring~87624.html?impEvent=browseclick&posEvent=127&sortbyEvent=mostpopular&tagEvent=","64,741","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
128,"https://kinclimg8.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAV0769R26_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-62495.png","The Eirene Band","https://www.bluestone.com/rings/the-eirene-band~89762.html?impEvent=browseclick&posEvent=128&sortbyEvent=mostpopular&tagEvent=","73,497","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
129,"https://kinclimg0.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIAB0593P05_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-44315.png","The Dictoya Pendant","https://www.bluestone.com/pendants/the-dictoya-pendant~59075.html?impEvent=browseclick&posEvent=129&sortbyEvent=mostpopular&tagEvent=","27,293","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
130,,"The Marcia Bangle","https://www.bluestone.com/bangles/the-marcia-bangle~2457.html?impEvent=browseclick&posEvent=130&sortbyEvent=mostpopular&tagEvent=","2,06,730","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
131,"https://kinclimg6.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0630D195_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-50577.png","The Trellis Drop Earrings","https://www.bluestone.com/earrings/the-trellis-drop-earrings~71837.html?impEvent=browseclick&posEvent=131&sortbyEvent=mostpopular&tagEvent=","61,954","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
132,"https://kinclimg1.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIVT0042S14_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-74211.png","The Floralia Stud Earrings","https://www.bluestone.com/earrings/the-floralia-stud-earrings~7978.html?impEvent=browseclick&posEvent=132&sortbyEvent=mostpopular&tagEvent=","33,903","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
133,"https://kinclimg5.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIJP0630R145_YAA22XXXXXXXXXXXX_ABCD00-PICS-00001-1024-49031.png","The Morrigan Ring","https://www.bluestone.com/rings/the-morrigan-ring~67299.html?impEvent=browseclick&posEvent=133&sortbyEvent=mostpopular&tagEvent=","65,069","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
134,"https://kinclimg9.bluestone.com/f_webp,c_scale,w_1024,b_rgb:f0f0f0/giproduct/BIIP0293S34_YAA22XXXXXXXXXXXX_ABCD00-PICS-00004-1024-9179.png","The Ramya Stud Earrings","https://www.bluestone.com/earrings/the-ramya-stud-earrings~17611.html?impEvent=browseclick&posEvent=134&sortbyEvent=mostpopular&tagEvent=","91,520","Rs.","Book Video Call","https://kinclimg8.bluestone.com/f_webp/static/resources/themes/bluestone/images/new/static/tah/video-call-icon.png","Upto 15% off on Making Charges","https://www.bluestone.com/jewellery/filter/22k-only+metal.html#bvideo-fancybox","Play Video"
